,naziv_opstine_clean,naziv_okruga_clean,NazivOpstine,NazivOkruga1,Datum,01. Povrsina,02. Teritorija pod sumom,"03. Teritorija pod sumom, kao % ukupne povrsine",04. Broj naselja,05. Gustina naseljenosti,06. Broj domacinstava,07. Broj stanovnika,"08. Broj stanovnika, musko","09. Broj stanovnika, zensko",10. Stopa maskuliniteta,11. Stopa feminiteta,12. Stanovnistvo - Predskolski uzrast (0-6),"13. Stanovnistvo - Predskolski uzrast (0-6), kao % ukupnog stanovnistva",14. Stanovnistvo - Osnovnoskolski uzrast (7-14),"15. Stanovnistvo - Osnovnoskolski uzrast (7-14), kao % ukupnog stanovnistva",16. Stanovnistvo - Srednjoskolski uzrast (15-18),"17. Stanovnistvo - Srednjoskolski uzrast (15-18), kao % ukupnog stanovnistva",18. Stanovnistvo - Punoletno stanovnistvo (18 i vise),"19. Stanovnistvo - Punoletno stanovnistvo (18 i vise), kao % ukupnog stanovnistva",20. Stanovnistvo - Mladi (15-29 godina),"21. Stanovnistvo - Mladi (15-29 godina), kao % ukupnog stanovnistva",22. Stanovnistvo - Radno sposobno stanovnistvo (15-64),"23. Stanovnistvo - Radno sposobno stanovnistvo (15-64), kao % ukupnog stanovnistva",24. Stanovnistvo - Zene u fertilnom periodu (15-49),"25. Stanovnistvo - Zene u fertilnom periodu (15-49), kao % ukupnog stanovnistva",26. Stanovnistvo - Starije stanovnistvo (65 i vise),"27. Stanovnistvo - Starije stanovnistvo (65 i vise), kao % ukupnog stanovnistva",28. Prosecna starost stanovnistva,29. Indeks starenja,30. Natalitet,31. Stopa nataliteta,32. Mortalitet,33. Stopa mortaliteta,34. Broj umrle odojcadi,35. Broj umrle odojcadi na 1000 zivorodjenih,36. Prirodni prirastaj,37. Stopa prirodnog prirastaja,38. Vitalni indeks,39. Stopa ukupnog fertiliteta,"40. Ocekivano trajanje zivota, muskarci","41. Ocekivano trajanje zivota, zene",42. Stopa ukupne zavisnosti stanovnistva,43. Stopa zavisnosti mladjeg stanovnistva,44. Stopa zavisnosti starijeg stanovnistva,45. Zakljuceni brakovi,46. Razvedeni brakovi,47. Odnos zakljucenih i razvedenih brakova,48. Unutrasnji migracioni saldo,49. Duzina puteva,50. Gustina puteva,51. Putnicki automobili,52. Putnicki automobili na 1000 stanovnika,53. Domacinstva prikljucena na vodovodnu mrezu,"54. Domacinstva prikljucena na vodovodnu mrezu, kao % ukupnog broja domacinstava",55. Domacinstva prikljucena na kanalizacionu mrezu,"56. Domacinstva prikljucena na kanalizacionu mrezu, kao % ukupnog broja domacinstava",57. Broj izgradjenih stanova,58. Izgradjeni stanovi na 1000 stanovnika,"59. Glasaci na izborima za odbornike skupstina JLS, kao % ukupnih biraca","60. Zene, kao % odbornika u skupstinama JLS"
493,Vranje - grad,Pcinjska oblast,Врање - град,Пчињска област,2014,860 км2,48946.39 ха,56.9 %,105 Број,96 Број,25839 Број,82425 Број,41274 Број,41151 Број,1 Однос,1 Однос,5509 Број,6.7 %,7228 Број,8.8 %,3946 Број,4.8 %,66775 Број,81 %,15705 Број,19.1 %,56693 Број,68.8 %,18844 Број,22.9 %,12995 Број,15.8 %,40.93 Број,106.7 Индекс,796 Број,9.66 ‰,943 Број,11.44 ‰,4 Број,5 ‰,-147 Број,-1.78 ‰,84.41 Индекс,1.51 Коефицијент,72.7 Број,78 Број,45.4 Број,22.5 Број,22.9 Број,423 Број,25 Број,16.9 Број,-228 Број,590.07 км,0.7 км,17780 Број,216 Број,17614 Број,68.2 %,13864 Број,53.7 %,87 Број,1.1 Број,0 %,0 %
494,Vranje - grad,Pcinjska oblast,Врање - град,Пчињска област,2015,860 км2,48946.39 ха,56.9 %,105 Број,95 Број,25839 Број,81986 Број,41050 Број,40936 Број,1 Однос,1 Однос,5482 Број,6.7 %,7050 Број,8.6 %,3836 Број,4.7 %,66599 Број,81.2 %,15408 Број,18.8 %,56074 Број,68.4 %,18593 Број,22.7 %,13380 Број,16.3 %,41.22 Број,111.3 Индекс,702 Број,8.56 ‰,989 Број,12.06 ‰,4 Број,5.7 ‰,-287 Број,-3.5 ‰,70.98 Индекс,1.35 Коефицијент,73 Број,78 Број,46.2 Број,22.3 Број,23.9 Број,419 Број,69 Број,6.1 Број,-218 Број,590.07 км,0.7 км,18101 Број,221 Број,17617 Број,68.2 %,14958 Број,57.9 %,112 Број,1.4 Број,0 %,0 %
495,Vranje - grad,Pcinjska oblast,Врање - град,Пчињска област,2016,860 км2,48946.39 ха,56.9 %,105 Број,95 Број,25839 Број,81468 Број,40841 Број,40627 Број,1.01 Однос,0.99 Однос,5411 Број,6.6 %,6881 Број,8.4 %,3775 Број,4.6 %,66370 Број,81.5 %,15137 Број,18.6 %,55431 Број,68 %,18313 Број,22.5 %,13745 Број,16.9 %,41.53 Број,115.8 Индекс,726 Број,8.91 ‰,953 Број,11.7 ‰,4 Број,5.5 ‰,-227 Број,-2.79 ‰,76.18 Индекс,1.42 Коефицијент,73.5 Број,78.2 Број,47 Број,22.2 Број,24.8 Број,385 Број,49 Број,7.9 Број,-302 Број,590.99 км,0.7 км,18746 Број,230 Број,18592 Број,72 %,16092 Број,62.3 %,131 Број,1.6 Број,0 %,0 %
496,Vranje - grad,Pcinjska oblast,Врање - град,Пчињска област,2017,860 км2,48946.46 ха,56.9 %,105 Број,94 Број,25839 Број,80961 Број,40619 Број,40342 Број,1.01 Однос,0.99 Однос,5398 Број,6.7 %,6711 Број,8.3 %,3714 Број,4.6 %,66093 Број,81.6 %,14856 Број,18.3 %,54756 Број,67.6 %,18018 Број,22.3 %,14096 Број,17.4 %,41.8 Број,119.2 Индекс,780 Број,9.63 ‰,1029 Број,12.71 ‰,4 Број,5.1 ‰,-249 Број,-3.08 ‰,75.8 Индекс,1.56 Коефицијент,73.8 Број,77.9 Број,47.9 Број,22.1 Број,25.7 Број,417 Број,57 Број,7.3 Број,-237 Број,591.45 км,0.7 км,19526 Број,241 Број,18862 Број,73 %,16183 Број,62.6 %,70 Број,0.9 Број,0 %,0 %
497,Vranje - grad,Pcinjska oblast,Врање - град,Пчињска област,2018,860 км2,48946.46 ха,56.9 %,105 Број,93 Број,25839 Број,80402 Број,40336 Број,40066 Број,1.01 Однос,0.99 Однос,5374 Број,6.7 %,6559 Број,8.2 %,3669 Број,4.6 %,65729 Број,81.8 %,14553 Број,18.1 %,53981 Број,67.1 %,17687 Број,22 %,14488 Број,18 %,42.05 Број,122.4 Индекс,719 Број,8.94 ‰,1025 Број,12.75 ‰,7 Број,9.7 ‰,-306 Број,-3.81 ‰,70.15 Индекс,1.48 Коефицијент,73.9 Број,77.7 Број,48.9 Број,22.1 Број,26.8 Број,410 Број,75 Број,5.5 Број,-327 Број,590.95 км,0.7 км,19582 Број,244 Број,0 Број,0 %,0 Број,0 %,144 Број,1.8 Број,0 %,0 %
498,Vranje - grad,Pcinjska oblast,Врање - град,Пчињска област,2019,860 км2,48946.46 ха,56.9 %,105 Број,93 Број,25839 Број,79782 Број,40043 Број,39739 Број,1.01 Однос,0.99 Однос,5269 Број,6.6 %,6431 Број,8.1 %,3677 Број,4.6 %,65327 Број,81.9 %,14268 Број,17.9 %,53216 Број,66.7 %,17390 Број,21.8 %,14866 Број,18.6 %,42.31 Број,126.1 Индекс,756 Број,9.48 ‰,1014 Број,12.71 ‰,3 Број,4 ‰,-258 Број,-3.23 ‰,74.56 Индекс,1.59 Коефицијент,73.8 Број,78.1 Број,49.9 Број,22 Број,27.9 Број,381 Број,80 Број,4.8 Број,-346 Број,571.91 км,0.7 км,20322 Број,255 Број,19011 Број,73.6 %,16289 Број,63 %,306 Број,3.8 Број,0 %,0 %
499,Vranje - grad,Pcinjska oblast,Врање - град,Пчињска област,2020,860 км2,47638.92 ха,55.4 %,105 Број,92 Број,25839 Број,79068 Број,39697 Број,39371 Број,1.01 Однос,0.99 Однос,5167 Број,6.5 %,6330 Број,8 %,3635 Број,4.6 %,64835 Број,82 %,13975 Број,17.7 %,52445 Број,66.3 %,17118 Број,21.6 %,15126 Број,19.1 %,42.49 Број,129.2 Индекс,648 Број,8.2 ‰,1211 Број,15.32 ‰,5 Број,7.7 ‰,-563 Број,-7.12 ‰,53.51 Индекс,1.39 Коефицијент,73 Број,77.7 Број,50.8 Број,21.9 Број,28.8 Број,242 Број,92 Број,2.6 Број,-263 Број,571.91 км,0.7 км,21110 Број,267 Број,19015 Број,73.6 %,16289 Број,63 %,304 Број,3.8 Број,0 %,0 %
500,Vranje-Vranje,Pcinjska oblast,Врање-Врање,Пчињска област,2011,602 км2,34308.97 ха,57 %,84 Број,123 Број,22858 Број,73977 Број,36980 Број,36997 Број,1 Однос,1 Однос,5050 Број,6.8 %,6781 Број,9.2 %,3813 Број,5.2 %,59304 Број,80.2 %,14804 Број,20 %,51613 Број,69.8 %,17519 Број,23.7 %,10533 Број,14.2 %,39.94 Број,92.6 Индекс,796 Број,10.76 ‰,846 Број,11.44 ‰,8 Број,10.1 ‰,-50 Број,-0.68 ‰,94.09 Индекс,1.62 Коефицијент,72.7 Број,75.7 Број,43.3 Број,22.9 Број,20.4 Број,364 Број,32 Број,11.4 Број,-113 Број,0 км,0 км,0 Број,0 Број,0 Број,0 %,0 Број,0 %,91 Број,1.2 Број,65.2 %,26.2 %
501,Vranje-Vranje,Pcinjska oblast,Врање-Врање,Пчињска област,2012,602 км2,34308.97 ха,57 %,84 Број,123 Број,22858 Број,73789 Број,36903 Број,36886 Број,1 Однос,1 Однос,5039 Број,6.8 %,6700 Број,9.1 %,3704 Број,5 %,59303 Број,80.4 %,14540 Број,19.7 %,51298 Број,69.5 %,17288 Број,23.4 %,10752 Број,14.6 %,40.19 Број,95.8 Индекс,789 Број,10.69 ‰,833 Број,11.29 ‰,3 Број,3.8 ‰,-44 Број,-0.6 ‰,94.72 Индекс,1.63 Коефицијент,72.7 Број,77.9 Број,43.8 Број,22.9 Број,21 Број,382 Број,45 Број,8.5 Број,-170 Број,0 км,0 км,0 Број,0 Број,0 Број,0 %,0 Број,0 %,60 Број,0.8 Број,65.7 %,30.8 %
502,Vranje-Vranje,Pcinjska oblast,Врање-Врање,Пчињска област,2013,602 км2,34308.97 ха,57 %,84 Број,122 Број,22858 Број,73513 Број,36773 Број,36740 Број,1 Однос,1 Однос,5042 Број,6.9 %,6575 Број,8.9 %,3602 Број,4.9 %,59238 Број,80.6 %,14254 Број,19.4 %,50827 Број,69.1 %,17078 Број,23.2 %,11069 Број,15.1 %,40.45 Број,99.8 Индекс,722 Број,9.82 ‰,826 Број,11.24 ‰,6 Број,8.3 ‰,-104 Број,-1.41 ‰,87.41 Индекс,1.52 Коефицијент,72.7 Број,77.2 Број,44.6 Број,22.9 Број,21.8 Број,332 Број,41 Број,8.1 Број,-235 Број,0 км,0 км,0 Број,0 Број,0 Број,0 %,0 Број,0 %,72 Број,1 Број,65.7 %,30.8 %
503,Vranje-Vranje,Pcinjska oblast,Врање-Врање,Пчињска област,2014,602 км2,48946.39 ха,81.3 %,84 Број,122 Број,22858 Број,73200 Број,36614 Број,36586 Број,1 Однос,1 Однос,5027 Број,6.9 %,6437 Број,8.8 %,3511 Број,4.8 %,59149 Број,80.8 %,13969 Број,19.1 %,50355 Број,68.8 %,16889 Број,23.1 %,11381 Број,15.5 %,40.72 Број,104.1 Индекс,730 Број,9.97 ‰,825 Број,11.27 ‰,4 Број,5.5 ‰,-95 Број,-1.3 ‰,88.48 Индекс,1.55 Коефицијент,72.9 Број,78.1 Број,45.4 Број,22.8 Број,22.6 Број,366 Број,23 Број,15.9 Број,-191 Број,0 км,0 км,0 Број,0 Број,0 Број,0 %,0 Број,0 %,87 Број,1.2 Број,65.7 %,30.8 %
504,Vranje-Vranje,Pcinjska oblast,Врање-Врање,Пчињска област,2015,602 км2,48946.39 ха,81.3 %,84 Број,121 Број,22858 Број,72856 Број,36440 Број,36416 Број,1 Однос,1 Однос,5019 Број,6.9 %,6281 Број,8.6 %,3407 Број,4.7 %,59022 Број,81 %,13709 Број,18.8 %,49835 Број,68.4 %,16668 Број,22.9 %,11721 Број,16.1 %,41.01 Број,108.5 Индекс,639 Број,8.77 ‰,863 Број,11.85 ‰,4 Број,6.3 ‰,-224 Број,-3.07 ‰,74.04 Индекс,1.37 Коефицијент,73.3 Број,78 Број,46.2 Број,22.7 Број,23.5 Број,380 Број,64 Број,5.9 Број,-179 Број,0 км,0 км,0 Број,0 Број,0 Број,0 %,0 Број,0 %,112 Број,1.5 Број,65.7 %,30.8 %
505,Vranje-Vranje,Pcinjska oblast,Врање-Врање,Пчињска област,2016,602 км2,48946.39 ха,81.3 %,84 Број,120 Број,22858 Број,72443 Број,36276 Број,36167 Број,1 Однос,1 Однос,4963 Број,6.9 %,6138 Број,8.5 %,3348 Број,4.6 %,58851 Број,81.2 %,13469 Број,18.6 %,49299 Број,68.1 %,16415 Број,22.7 %,12043 Број,16.6 %,41.32 Број,113 Индекс,654 Број,9.03 ‰,810 Број,11.18 ‰,4 Број,6.1 ‰,-156 Број,-2.15 ‰,80.74 Индекс,1.43 Коефицијент,73.7 Број,78.2 Број,46.9 Број,22.5 Број,24.4 Број,354 Број,44 Број,8 Број,-265 Број,0 км,0 км,0 Број,0 Број,0 Број,0 %,0 Број,0 %,131 Број,1.8 Број,66.6 %,30.8 %
